          24
   1     0     2     3    -3     1     1   1  particle
   2     0     2     3    -1     1     1   1  particle
   3     0     2     3     1     1     1   1  particle
   4     0     2     3     3     1     1   1  particle
   5     0     2     5    -5     1     2   1  particle
   6     0     2     5    -3     1     2   1  particle
   7     0     2     5    -1     1     2   1  particle
   8     0     2     5     1     1     2   1  particle
   9     0     2     5     3     1     2   1  particle
  10     0     2     5     5     1     2   1  particle
  11     1     0     1    -1     1     3   1  particle
  12     1     0     1     1     1     3   1  particle
  13     0     2     3    -3    -1     4   1  particle
  14     0     2     3    -1    -1     4   1  particle
  15     0     2     3     1    -1     4   1  particle
  16     0     2     3     3    -1     4   1  particle
  17     0     2     5    -5    -1     5   1  particle
  18     0     2     5    -3    -1     5   1  particle
  19     0     2     5    -1    -1     5   1  particle
  20     0     2     5     1    -1     5   1  particle
  21     0     2     5     3    -1     5   1  particle
  22     0     2     5     5    -1     5   1  particle
  23     1     0     1    -1    -1     6   1  particle
  24     1     0     1     1    -1     6   1  particle
